"filename","waters_edge_value_3peak","waters_edge_value_2peak","LDB_location_m","RDB_location_m","width_m"
"20170601_214555_0c37","-0.225","-0.425","32.7038281532753","10.6991737271631","22.0046544261122"
"-9","-9","-9","-9","-9","-9"
"-9","-9","-9","-9","-9","-9"
"-9","-9","-9","-9","-9","-9"
"-9","-9","-9","-9","-9","-9"
"-9","-9","-9","-9","-9","-9"
"-9","-9","-9","-9","-9","-9"
"-9","-9","-9","-9","-9","-9"
"-9","-9","-9","-9","-9","-9"
"-9","-9","-9","-9","-9","-9"
"-9","-9","-9","-9","-9","-9"
"-9","-9","-9","-9","-9","-9"
"-9","-9","-9","-9","-9","-9"
"-9","-9","-9","-9","-9","-9"
"-9","-9","-9","-9","-9","-9"
"-9","-9","-9","-9","-9","-9"
"-9","-9","-9","-9","-9","-9"
"-9","-9","-9","-9","-9","-9"
"-9","-9","-9","-9","-9","-9"
"-9","-9","-9","-9","-9","-9"
"-9","-9","-9","-9","-9","-9"
"-9","-9","-9","-9","-9","-9"
"-9","-9","-9","-9","-9","-9"
"-9","-9","-9","-9","-9","-9"
"-9","-9","-9","-9","-9","-9"
"-9","-9","-9","-9","-9","-9"
"-9","-9","-9","-9","-9","-9"
"-9","-9","-9","-9","-9","-9"
"-9","-9","-9","-9","-9","-9"
"-9","-9","-9","-9","-9","-9"
"-9","-9","-9","-9","-9","-9"
"-9","-9","-9","-9","-9","-9"
"-9","-9","-9","-9","-9","-9"
"-9","-9","-9","-9","-9","-9"
"-9","-9","-9","-9","-9","-9"
"-9","-9","-9","-9","-9","-9"
"filename","waters_edge_value_3peak","waters_edge_value_2peak","LDB_location_m","RDB_location_m","width_m"
"20170601_214555_0c37","-0.225","-0.425","32.7038281532753","10.6991737271631","22.0046544261122"
"20170609_151926_100c","-0.405","-9999","34.9532843951997","19.9205266247491","15.0327577704506"
"20170610_152634_0e16","-0.355","-9999","36.9533219054165","19.277562798002","17.6757591074145"
"20170611_152021_101d","-9999","-9999","36.9533219054165","19.277562798002","17.6757591074145"
"20170612_152544_0e20","-9999","-9999","36.9533219054165","19.277562798002","17.6757591074145"
"20170613_165153_0c24","-9999","-0.315","36.9533219054165","19.277562798002","17.6757591074145"
"20170617_152100_0f10","-0.355","-0.365","36.9533219054165","19.277562798002","17.6757591074145"
"20170618_152034_0f1b","-0.345","-0.355","32.7767156329827","23.2507716979104","9.52594393507229"
"20170621_152105_1044","-0.285","-0.335","28.7444532677802","25.8518638337879","2.89258943399234"
"20170625_152039_100a","-0.215","-0.495","28.7444532677802","25.8518638337879","2.89258943399234"
"20170628_152004_102c","-0.355","-0.385","32.8229067404873","20.4278458909796","12.3950608495077"
"20171027_152716_103a","-9999","-0.005","32.8229067404873","20.4278458909796","12.3950608495077"
"20171120_152629_0f35","0.0950000000000001","0.0750000000000001","36.9706483549161","16.9846721660013","19.9859761889148"
"20171121_160341_100d","-0.015","-0.155","35.0402115619729","11.2365343019757","23.8036772599972"
"20171203_152734_1010","-9999","-9999","35.0402115619729","11.2365343019757","23.8036772599972"
"20171206_152814_101b","0.105","0.035","32.7731866333091","24.2112923620227","8.56189427128637"
"20171209_160116_0f21","-9999","-0.155","32.7731866333091","24.2112923620227","8.56189427128637"
"20180120_152959_1008","0.0750000000000001","-9999","35.1026458715088","22.7131946651706","12.3894512063382"
"20180128_155241_0f1a","-9999","-0.075","35.1026458715088","22.7131946651706","12.3894512063382"
"20180203_155117_0f4a","-9999","-9999","35.1026458715088","22.7131946651706","12.3894512063382"
"20180212_153013_1025","0.0750000000000001","0.0850000000000001","35.0344845144649","20.0203106365714","15.0141738778935"
"20180212_155035_0f3c","0.055","-0.045","32.7944573845524","16.9173456657391","15.8771117188133"
"20180213_155001_1020","-9999","-0.035","32.7944573845524","16.9173456657391","15.8771117188133"
"20180220_153020_100c","-9999","-9999","32.7944573845524","16.9173456657391","15.8771117188133"
"20180226_153129_1042","0.045","0.035","39.8166403932857","15.530676661637","24.2859637316487"
"20180227_153118_101b","0.025","-0.005","36.819663056895","16.7076393543757","20.1120237025193"
"20180228_153134_1014","0.115","0.045","34.9567168526832","19.1508800194293","15.8058368332539"
"20180303_154703_1053","0.015","-0.005","34.9665035882169","10.2524468822778","24.7140567059392"
"20180305_153122_100c","-9999","-9999","34.9665035882169","10.2524468822778","24.7140567059392"
"20180311_154701_1049","-0.045","-0.035","36.8849013545657","18.743358399607","18.1415429549587"
"20180312_153204_101b","-9999","0.035","36.8849013545657","18.743358399607","18.1415429549587"
"20180318_153141_100c","0.0650000000000001","-9999","34.9916083338728","18.3674394502587","16.6241688836141"
"20180325_153212_101b","-0.015","-0.045","35.0296960893214","21.6080595302793","13.4216365590421"
"20180326_153257_1035","-9999","-9999","35.0296960893214","21.6080595302793","13.4216365590421"
"20180331_154322_1020","-0.015","-0.045","39.6104510920469","16.3881320212136","23.2223190708333"
"20180303_154703_1053","0.015","-0.005","34.9665035882169","10.2524468822778","24.7140567059392"
